23Na,24Mg,27Al,28Si,39K,44Ca,48Ti,51V,52Cr,54Fe,55Mn,59Co,60Ni,63Cu,66Zn,75As,88Sr,90Zr,93Nb,98Mo,111Cd,120Sn,121Sb,138Ba,139La,140Ce,184W,205Tl,208Pb
,,0.349259084373647,,,,0.6507409156263531,,,,,,,,,,,,,,,,,,,,,,
,,0.8041242588351587,,,,0.1563299740453741,,,,,,,,,,,,,,,,,,,,,,0.0395457671194672
,0.1562092391734954,0.3612917191006463,0.3190026605402752,,,0.1634963811855829,,,,,,,,,,,,,,,,,,,,,,
0.117426356037861,,0.0606161157484283,0.308082208500221,,,0.2842144770140994,,,0.1870533196968001,,,,,,,0.0060328496077672,,0.0072698314507005,,,,,0.0218122552227845,,0.0028111694499184,,,0.0046814172714192
,0.0508988325029971,0.5856410106441196,,,0.1502139553813697,0.0357738594885332,,,0.1534741071907181,0.007173348041129,,,,,,0.0061069230244322,,,,,,,0.0084754489765314,,,,,0.0022425147501695
,,0.7598736754055326,,,,0.2401263245944674,,,,,,,,,,,,,,,,,,,,,,
,0.2920904133975224,0.0120638661315119,,,,0.026334495714987,,,0.6594273331790507,0.0100838915769279,,,,,,,,,,,,,,,,,,
0.0309237171771789,0.0582256409629452,0.0873086030943059,,,,0.0116055509872888,,,0.8002214124951433,0.0035367154385489,,,0.0051150035848594,,,0.0012462597742898,,,,,,,0.0018170964854393,,,,,
,,0.8439435291393471,,,,0.1560564708606529,,,,,,,,,,,,,,,,,,,,,,
,,0.9673732114142278,,,,0.0236916260349383,,,,,,,,,,,,,,,,,,,,,,0.0089351625508338
0.236757930344291,,,0.7632420696557088,,,,,,,,,,,,,,,,,,,,,,,,,
,0.0195720118054606,0.979089548992804,,,,,,,,,,,,,,,,,,,,,0.0013384392017353,,,,,
,,0.6043957322534314,,,,0.3956042677465687,,,,,,,,,,,,,,,,,,,,,,
,,0.6492256677519448,,,,0.3088925397892438,,,,,,,,,,,0.0418817924588113,,,,,,,,,,,
,,0.8281209138382706,,,,0.1718790861617294,,,,,,,,,,,,,,,,,,,,,,
,,0.0902737853836323,,,,0.0385957530293738,,,0.5360165601785869,0.3245007597185006,,,,,,,,,,,,,0.0071189357806851,,0.0034942059092211,,,
,,0.0542216011179675,,,,,,,0.9325596464019268,0.0132187524801057,,,,,,,,,,,,,,,,,,
,,0.5879045868931446,,,,0.4120954131068553,,,,,,,,,,,,,,,,,,,,,,
,,0.9224763301544148,,,,0.0775236698455851,,,,,,,,,,,,,,,,,,,,,,
,,0.9446551257560916,,,,0.0386732202378145,,,,,,,,,,,,,,,,,0.0166716540060938,,,,,
,,0.0069600788826344,,,,0.003388751771711,,,0.9861182537390046,0.0035329156066499,,,,,,,,,,,,,,,,,,
,0.0383990179820316,0.8862186064282814,,,,0.0534484583891379,,,,,,,,,,0.0069800337147725,0.0057032783984036,,,,,,0.0079325515630333,0.0013180535243394,,,,
,,0.9860037376767335,,,,,,,,,,,,,,,,,,,,,0.0139962623232662,,,,,
,0.1750661802633202,0.1837426046223494,,,,0.1298518325162995,,,0.4151176248025198,0.0290873739905208,,,,,,,,,,,,,0.053216042607152,,,,,0.0139183411978379
,0.0878257042591307,0.6763011757261265,,,,,,,0.1572343738894172,0.011044640896073,0.0047771013241956,,,,,0.0255541280911249,,,,,,,0.0372628758139318,,,,,
,0.0683722213847715,0.8589970827718474,,,,0.0370234315824644,,,,0.0181617139541177,,,,,,,,,,,,,0.0174455503067988,,,,,
,,0.6885101405372939,,,,0.3114898594627061,,,,,,,,,,,,,,,,,,,,,,
,0.2055930967949901,0.7944069032050098,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.967207351163218,0.0327926488367821,,,,,,,,,,,,,,,,,,
,,0.93288059253211,,,,0.0671194074678899,,,,,,,,,,,,,,,,,,,,,,
,,0.0824736638857171,,,,,,,0.9175263361142828,,,,,,,,,,,,,,,,,,,
,,0.3639750860296791,,,,0.6030438669016235,,,,,,,,,,,0.0329810470686973,,,,,,,,,,,
,,,,,,,,,,0.9453956625159552,,,,,,,,,,,,,,,0.0546043374840448,,,
,,,,,,,,,0.9862111359452388,0.0137888640547612,,,,,,,,,,,,,,,,,,
,,0.1220466293236947,,,,,,,0.8446304418846838,0.0333229287916215,,,,,,,,,,,,,,,,,,
,,0.937495791594815,,,,0.062504208405185,,,,,,,,,,,,,,,,,,,,,,
,,0.4406055531084877,,,,0.4631864543081727,,,,,,,,,,,,,,,,,0.0962079925833397,,,,,
,,0.3942414029365334,,0.4682084723833297,,0.00373994494212,,,,,,,,,,0.0391563428596245,0.0011325921523498,,,,,,0.0233288356315964,0.0241410775401203,0.0460513315543256,,,
,,0.9411785858010232,,,,0.0588214141989766,,,,,,,,,,,,,,,,,,,,,,
,0.0396695917009654,0.7833376411730963,,,,0.0593501050387728,,,0.092995027718595,0.0067048726570562,,,,,,0.0054851873029944,0.0041572381103481,,,,,,0.0039329938233812,,,,,0.0043673424747901
,,0.8704558481393645,,,,0.1295441518606355,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.7339150304740668,,,,,,,,0.2660849695259333,,,
,0.0400155257246461,0.6572399886450667,0.0818878430743477,,,0.1672912376266213,0.002168861932581,,0.0426959107920668,,,,,,,0.0014890680718985,0.0015225030664709,0.0016749277713946,,,,,0.0022608108002659,,,,,0.00175332249464
,,0.8083080687484526,,,,0.0674492078054615,,,,,,,,,,,0.1114160684141674,,,,,,,,0.0128266550319185,,,
,,0.789296764674806,,,,0.0986966132511121,,,,,,,,,,,0.0351795721712895,,,,,,0.0646483153751503,,,,,0.0121787345276419
,,0.7264907885281191,,,,,,,,,,,,,,,,,,,,,0.1592193002866395,,,,,0.1142899111852413
,,0.8562000926754149,,,,0.143799907324585,,,,,,,,,,,,,,,,,,,,,,
,,0.901829653042224,,,,0.0766219411253256,,,,,,,,,,,0.0215484058324504,,,,,,,,,,,
,,0.8675317927153462,0.0852136417029059,,,0.0126686747306818,,,0.029556819994781,0.0012057101312822,,,,,,0.0009037666056505,0.0012484913298426,,,,,,0.0016711027895095,,,,,
,,0.9644868817497472,,,,0.0355131182502527,,,,,,,,,,,,,,,,,,,,,,
,,0.0448822028145298,0.9551177971854702,,,,,,,,,,,,,,,,,,,,,,,,,
,0.2938342088727658,0.5657131838296475,,,,0.101252152853757,,,,,,,,,,,,,,,,,0.0392004544438297,,,,,
,,0.759501435834013,,,,0.240498564165987,,,,,,,,,,,,,,,,,,,,,,
,0.0518716868349994,0.4911714224362947,,,,0.0836349689195588,,,0.2268501880703861,0.010208280222352,,,0.0122555083212674,0.0521222079761399,,,,,,,,,0.0174731272133488,0.0014919626474922,0.0042282551950019,,,0.0486923921631581
,,0.1370802306505147,,,,0.7425065561692521,0.1204132131802331,,,,,,,,,,,,,,,,,,,,,
,,0.428149219876973,,,,0.571850780123027,,,,,,,,,,,,,,,,,,,,,,
,,0.788575232171457,,,,0.211424767828543,,,,,,,,,,,,,,,,,,,,,,
,0.0928836644329794,0.7841575758423549,,,,,,,,0.0218281413870211,,,,,,,,,,,,,0.1011306183376444,,,,,
,0.1378025793949016,0.5103284963892628,,,,0.011212132651367,,,0.316401509152007,,,,,,,0.0090332854204653,,,,,,,0.0114652809824368,,,,,0.0037567160095592
,0.0826545602604609,0.6379376736356138,,,,0.2680951560710021,,,,,,,,,,0.0113126100329232,,,,,,,,,,,,
,0.1134576404482807,,,,,,,,0.5072825220079993,0.1144667435444688,,,,0.2175928108436618,,,,,,,,0.0166988834434161,,,,,,0.0305013997121731
,0.056551976144442,0.4160973213545296,,,,0.0358369462621341,,,0.3512544507352308,0.0089743614219825,,,,,,,,,,,,,0.1211695432170725,,,,,0.010115400864608
,,0.8562947866212376,,,,0.1437052133787624,,,,,,,,,,,,,,,,,,,,,,
,0.560739044255091,0.4392609557449091,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0.7775905323336899,,,,,,,,,,,,,,,,,0.22240946766631,,,,,
,,0.6391332332690544,,,,,,,,,,,,,,0.0620090341241284,,,,,,,0.2988577326068171,,,,,
,,0.9176036904722848,,,,0.0745914009337248,,,,,,,,,,0.0078049085939904,,,,,,,,,,,,
,,0.3772527803661166,0.6227472196338834,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.8760882240238753,,,,0.1239117759761247,,,,,,,,,,,,,,,,,,,,,,
,0.0627279604470719,0.6235879760807937,,,,0.0223492968228141,,,0.1909104676005796,0.0058583596688741,,,,,,0.0244930922077582,,,,,,,0.0667983632888158,,,,,0.0032744838832923
,,0.7407503922552084,,,,,,,,,,,,,,,,,,,,,0.2592496077447916,,,,,
,0.2956053026824234,0.0820963139029308,,,,,,,0.6222983834146457,,,,,,,,,,,,,,,,,,,
,,0.8146671776492521,0.1716751218693513,,,0.0136577004813965,,,,,,,,,,,,,,,,,,,,,,
,,0.1812960429594093,,,0.6731419513556947,0.1125529520208745,,,,,,,,,,0.0330090536640215,,,,,,,,,,,,
,0.0326701591049359,0.5740956703082122,,,,0.0247863062972696,,,0.3551182755400791,0.0043683884831313,,,,,,,,,,,,,0.0047835755618626,,,,,0.0041776247045091
,,,,,,0.6256926574607407,,,,0.3743073425392592,,,,,,,,,,,,,,,,,,
,0.1463067040438852,0.8225013013058684,,,,,,,,,,,,,,0.0192190110629373,,,,,,,0.011972983587309,,,,,
,,0.8689883019027165,,,,0.1310116980972835,,,,,,,,,,,,,,,,,,,,,,
,,0.1544957539287251,,,,,,,0.5977735692845394,0.2477306767867354,,,,,,,,,,,,,,,,,,
,,0.269244747090192,,,,,,,0.6997437116699166,0.0227104531998906,,,,,,,,,,,,,0.0083010880400006,,,,,
,,0.1242686245346385,,,,,,,0.8251445289748499,0.0505868464905115,,,,,,,,,,,,,,,,,,
