23Na,24Mg,27Al,28Si,39K,44Ca,48Ti,51V,52Cr,54Fe,55Mn,59Co,60Ni,63Cu,66Zn,75As,88Sr,90Zr,93Nb,98Mo,111Cd,120Sn,121Sb,138Ba,139La,140Ce,184W,205Tl,208Pb
,,0.2080378128127729,,,,0.6100968058234246,,,,,,,,,,0.0637438894767588,0.1181214918870437,,,,,,,,,,,
,,0.9975906336280776,,,,,,,,,,,,,,,,,,,,,,,,,,0.0024093663719224
,,,,,,,,,,0.9270039906384242,,,,,,,,,,,,,,,,,,0.0729960093615758
,,,,,,,,,,,,,,0.3787805284383395,,,,,,,,0.0653452646294495,,,,,,0.5558742069322109
,,0.7984686741016892,,,,,,,,,,,,,,,0.2015313258983107,,,,,,,,,,,
0.3227074272581892,,,0.1280029926803798,0.5413593635214955,,0.0024399174099325,,,,0.0025429097851006,,,,,,,,,,,,,,,0.000460362794023,,,0.0024870265508791
,,0.287035378985439,,,,0.0197809568187289,,,0.5691057398685948,0.0135863416027396,,,,,,,,,,,,,,,,,,0.1104915827244974
0.1337583436624242,0.08318183723434,0.6102555818134267,,,,0.0375113475108715,,,,,,,,0.0698245207498353,,0.0046569521950533,,,,,,,,,,,,0.0608114168340488
,,0.7509759306585219,,,,,,,,,,,,,,,,,,,,,,,,,,0.2490240693414781
,0.2717334249318753,0.2858045563276215,,,,,,,0.4148643524548179,,,,,,,,,,,,,,,,,,,0.0275976662856851
,,,,,,,,,,,,,,,,,,,,,0.7183948594195005,0.1513925094915437,,,,,,0.1302126310889559
,,0.414631498792903,,,,,,,,,,,,,,,,,,,,,,,,,,0.5853685012070969
,,0.8743107957888859,,,,,,,,,,,,,,,,,,,,,,,0.1256892042111141,,,
,,0.1105524062558691,,,,,,,0.8894475937441308,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.4726318476609235,,0.5273681523390764,,,,,,,,,,,,,,,,,,
