23Na,24Mg,27Al,28Si,39K,44Ca,48Ti,51V,52Cr,54Fe,55Mn,59Co,60Ni,63Cu,66Zn,75As,88Sr,90Zr,93Nb,98Mo,111Cd,120Sn,121Sb,138Ba,139La,140Ce,184W,205Tl,208Pb,embedding
,,,5.874880873529621e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,,,,,,,,1.8549220515470443e-16,,,,,,,,,,,,,,,,,,,1024
,,,,,,,,,3.025946357609308e-15,3.434549023102943e-16,,,,2.2410255749438722e-15,,,,,,,,,,,,,,,17920
,,,,,,,,,,7.660743832152198e-16,,,,,,,,,,,,,,,,,,,1024
,,2.419428576012592e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,4.93796605210025e-16,,,,1.148463570821282e-15,,,,,,,,,,,,,,,17408
,,,,,,,,,,3.119316393311293e-16,,,,,,,,,,,,,,,,,,,1024
,,,,,,,,,2.9237457128767894e-15,4.427011857780635e-16,,,,4.730580877733474e-15,,,,,,,,,,,,,,7.189532445158083e-17,268453376
,,,,,,,,,,,,,,1.6531577866299791e-15,,,,,,,,,,,,,,,16384
,,,,,,,,,,2.251560914499489e-16,,,,,,,,,,,,,,,,,,,1024
,,,,,5.4824764962601656e-15,,,,,,,,,,,,,,,,,,,,,,,,32
,,,5.3921683365344896e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,,,,,,,,,,8.789818853743352e-16,,,,,,,,,,,,,,,,,4096
,,,,,5.8867182137274465e-15,,,,,,,,,,,,,,,,,,,,,,,,32
,1.4235838172256964e-15,,,,,,,,9.290626736302505e-15,5.645597406780065e-15,,,,1.5959016799579732e-14,,,,,,,,,,,,,,,17922
,,,,,,,,,,,,,,1.0822476917835492e-15,,,,,,,,,,,,,,,16384
,,2.7641158456525117e-14,,,,8.238873096008132e-16,,,,2.059303590098468e-16,,,2.567454567494349e-16,,,,,,,,,,,,,,,,9284
,,5.020042716371668e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,1.5344934095060397e-16,,,,,,,,,,,,,,,,,,,1024
,,,,,4.512295955211733e-15,,,,,,,,,,,,,,,,,,,,,,,,32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.255845510357044e-16,268435456
,,,,,,,,4.063334826271429e-16,,,,,,,,,,,,,,,,,,,,,256
2.5041678949450608e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,1.4156015386380684e-15,,,,,,,,,2.7283105671210366e-15,,,,,,,,,,,,,,,,,,,1026
,,,,,,,,,,2.4697987176765757e-16,,,,,,,,,,,,,,,,,,,1024
,,,,,,,,,,6.200627925860013e-16,,,,1.6491201602306466e-15,,,,,,,,,,,,,,,17408
,,,,,,,,,,1.1950122122371722e-16,,,,,,,,,,,,,,,,,,,1024
1.8243890215799695e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,6.3948605538915414e-15,,,,,,,,,,,,,,,16384
,3.0645091143462575e-15,,,,,,,,6.5333846876831364e-15,4.857862465078272e-15,,,,9.986668527526442e-15,,,,,,,,,,,,,,,17922
