23Na,24Mg,27Al,28Si,39K,44Ca,48Ti,51V,52Cr,54Fe,55Mn,59Co,60Ni,63Cu,66Zn,75As,88Sr,90Zr,93Nb,98Mo,111Cd,120Sn,121Sb,138Ba,139La,140Ce,184W,205Tl,208Pb,embedding
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,512
,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,512
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1024
,,0.2917848308424911,,,,0.2289756155834212,,,,0.3805863467600957,,,,,,,,,,,,,,,0.098653206813992,,,,33555524
,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1024
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,16
,0.05027831353782257,0.763692227423882,,,,0.026540041455174492,,,0.09768371175780698,0.00365001654238382,,,,,,0.00344392067997836,,,,,,,0.05153688606438002,,0.001293696235905037,,,0.0018811863026667872,310445638
,0.02484736225787847,0.3604188687629371,,,0.14619098986943496,0.020449682753600668,,,0.11897605885640207,,,,,,,0.27973848786827843,,,,,,,0.021532853636534992,0.011865949412122895,0.01597974658281043,,,,58786406
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,16384
,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,256
,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,67108864
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,0.34925908437364706,,,,0.6507409156263531,,,,,,,,,,,,,,,,,,,,,,,68
,,0.8041242588351587,,,,0.1563299740453741,,,,,,,,,,,,,,,,,,,,,,0.039545767119467286,268435524
,0.15620923917349547,0.36129171910064634,0.31900266054027526,,,0.16349638118558293,,,,,,,,,,,,,,,,,,,,,,,78
0.11742635603786106,,0.06061611574842833,0.30808220850022106,,,0.2842144770140994,,,0.18705331969680014,,,,,,,0.0060328496077672635,,0.007269831450700548,,,,,0.02181225522278456,,0.002811169449918424,,,0.004681417271419278,310706765
,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,256
,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,256
,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,32
,0.05089883250299717,0.5856410106441196,,,0.15021395538136978,0.03577385948853328,,,0.1534741071907181,0.007173348041129003,,,,,,0.006106923024432247,,,,,,,0.008475448976531413,,,,,0.0022425147501695295,276891238
,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,16
,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,32
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,4096
,,0.7598736754055326,,,,0.24012632459446742,,,,,,,,,,,,,,,,,,,,,,,68
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,0.29209041339752245,0.012063866131511926,,,,0.026334495714987007,,,0.6594273331790507,0.010083891576927937,,,,,,,,,,,,,,,,,,,1606
0.03092371717717897,0.05822564096294528,0.08730860309430592,,,,0.011605550987288845,,,0.8002214124951433,0.0035367154385489664,,,0.005115003584859476,,,0.0012462597742898484,,,,,,,0.0018170964854393424,,,,,,8463943
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,0.8439435291393471,,,,0.15605647086065294,,,,,,,,,,,,,,,,,,,,,,,68
,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,64
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,0.9673732114142278,,,,0.02369162603493835,,,,,,,,,,,,,,,,,,,,,,0.00893516255083384,268435524
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,8
