23Na,24Mg,27Al,28Si,39K,44Ca,48Ti,51V,52Cr,54Fe,55Mn,59Co,60Ni,63Cu,66Zn,75As,88Sr,90Zr,93Nb,98Mo,111Cd,120Sn,121Sb,138Ba,139La,140Ce,184W,205Tl,208Pb,embedding
,,5.049607436572635e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,1.029800459395745e-15,,,,5.440688505593588e-16,,,,7.988104498364221e-16,,,,,,,,,,,,,,,,,,,1092
,,,,,,,,,,,,,,,,9.797783393429557e-17,,,,,,,,,,,,,65536
,,,5.301555124357475e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,2.7791799811777774e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,5.8719059867370326e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,5.705461550023241e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,,,4.563871421649696e-15,,,,,,,,,,,,,,,,,,,,,,,,32
,,,5.5182121564606625e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
3.3621655875073675e-15,,,1.0306865750491645e-14,,,1.0518304984396748e-15,2.548586709845446e-16,,8.408655363260314e-15,,,,,1.0911589110018932e-15,,,,,,,,,,,,,,4.81055246577181e-16,268452553
,,1.2980379181808223e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,1.1744204325542886e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,8.618769135623439e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,4.986714590284296e-16,5.881786637679725e-15,,,2.0822164705117984e-16,,,3.3464632059049806e-15,,,,,,,,,,,,,,,,,,,7.560840408182336e-17,268436044
,,,,,,5.388500326474871e-16,,,,,,,,,,,5.639411354467546e-16,,,,,,,,,,,,131136
,,,5.205604619178247e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,2.4804397193577296e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,7.864938005172913e-16,,,,,,,,,,,,,,,,,4096
,,,,4.721799928773844e-14,,,,,,,,,,,,,,,,,,,,,,,,,16
,,5.065330395461511e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,5.263430037943573e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,3.8577902735572953e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,7.467185132347671e-15,,,,2.358507643138334e-16,,,,,,,,,,,,,,,,,,,,,,,68
,,1.7933180972370577e-15,,,,,,,,,,,,,,,1.1323182661471348e-16,,,,,,2.0679118027765189e-16,,,,,7.905242042195914e-17,276955140
,,,,,,,,,,,,9.669439567429881e-16,,,,,,,,,,,,,,,,,4096
,,3.042996577764397e-15,,,,1.0481466095599108e-15,,,,,,,,,,,,,,,,,9.547346642492545e-17,,,,,8.482114554317779e-17,276824132
,,,,,,2.450604618454521e-16,,,,,,,,,,,,,,,,,,,,,,,64
,,,,,,,,,,,1.2858843070977626e-16,,,,,,,,,,,,,,,,,,2048
,,,,,4.282205913997643e-15,,,,,,,,,,,,,,,,,,,,,,,,32
,,,,,,,,,2.4636238318872516e-15,,,,,,,,,,,,,,,,,,,,512
,,,5.8298884139989395e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,6.188000742264959e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,6.625069951214099e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,7.705351631162126e-16,4.078839785204482e-15,,,,2.653218013485726e-16,,,,,,,,,,2.9289612761183187e-16,,,,,,,3.7182763897220526e-16,,,,,,8454214
,,3.360937798612168e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,1.5788835032874087e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1.8418792607444378e-15,,9.01184917224238e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,5
,,4.873507466965283e-16,,,,,,,,2.3918606860890756e-16,,,,,,,,,,,,,,,,,,,1028
,,1.310080013939402e-14,7.946885722006904e-15,,,,,,,,,,,,,,,,,,,,,,,,,,12
,,4.697408002724312e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,2.549621597591715e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,4.217005677547457e-15,,,,,,,,,,,,,,,,,,,,,,,,32
,,4.603069238658182e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,1.3131322012900208e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,5.731729855306043e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,,,,,,,,,,6.940017196341982e-16,,,,,,,,,,,,,,,,,4096
,,,,,,,,2.973556243306006e-16,,,,,,,,,,,,,,,,,,,,,256
,,,,,,,,,,,,6.640778368297344e-16,,,,,,,,,,,,,,,,,4096
,,8.741410438568924e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,5.9983089809013245e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
