23Na,24Mg,27Al,28Si,39K,44Ca,48Ti,51V,52Cr,54Fe,55Mn,59Co,60Ni,63Cu,66Zn,75As,88Sr,90Zr,93Nb,98Mo,111Cd,120Sn,121Sb,138Ba,139La,140Ce,184W,205Tl,208Pb,embedding
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6421557487673574e-16,268435456
,,,,,,,,,,,,,,7.204031395961095e-16,,,,,,,,,,,,,,1.3644256104736344e-16,268451840
,,5.498838958074105e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,5.28500378606015e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.304795101056069e-17,268435456
,,1.5615133321581682e-15,,,,,,,3.2797140034976695e-15,,,,,,,,,,,,,,,,,,,4.369329953723147e-16,268435972
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.919813837400737e-17,268435456
,,2.363636887680103e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0303559770510546e-16,268435456
,,,5.411300828087963e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,,4.606779351897291e-14,,,,,,,,,,,,,,,,,,,,,,,,,16
,,2.520868498034574e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2490511080492594e-16,268435456
,,,,,,,,,,,,,,,,,,,,,2.5916298019616978e-15,,,,,,,,2097152
,,,,4.7711110291742714e-14,,,,,,,,,,,,,,,,,,,,,,,,,16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.598771716735799e-17,268435456
,,,,4.737401967168739e-14,,,,,,,,,,,,,,,,,,,,,,,,,16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.074794884038804e-17,268435456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.290045645853986e-17,268435456
,,1.1542829357590504e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,5.003013632019898e-15,,,,,,,,,,,,,,,,,,,,,,,,32
,,,,,,,,,,,,,,1.2775854604123604e-15,,,,,,,,,,,,,,3.131205944533843e-16,268451840
,,,,,,,,,,,,,,8.972479445399305e-16,,,,,,,,,,,,,,3.118291064868637e-16,268451840
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.976378252790098e-17,268435456
,,5.212677265511735e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.562456532735216e-16,268435456
,,,,,5.336839077355892e-15,,,,,,,,,,,,,,,,,,,,,,,,32
,,,,5.044996480808488e-14,,,,,,,,,,,,,,,,,,,,,,,,,16
